"","team","average_ pos","average_ fgm","average_ fga","average_ fg_pct","average_ tpm","average_ tpa","average_ tp_pct","average_ ftm","average_ fta","average_ ft_pct","average_ oreb","average_ dreb","average_ reb","average_ ast","average_ stl","average_ blk","average_ to","average_ pf","average_ pts","average_ opp_fgm","average_ opp_fga","average_ opp_fg_pct","average_ opp_tpm","average_ opp_tpa","average_ opp_tp_pct","average_ opp_ftm","average_ opp_fta","average_ opp_ft_pct","average_ opp_oreb","average_ opp_dreb","average_ opp_reb","average_ opp_ast","average_ opp_stl","average_ opp_blk","average_ opp_to","average_ opp_pf","average_ opp_pts","average_ pts_scored","average_ pts_allowed","average_ adj_o","average_ adj_d","average_ off_ppp","average_ off_efg","average_ off_to","average_ off_or","average_ off_ftr","average_ def_ppp","average_ def_efg","average_ def_to","average_ def_or","average_ def_ftr","average_ game_score","average_ tempo","average_ avg_marg","barthag","barthag_rk","adj_o.x","adj_o_rk.x","adj_d.x","adj_d_rk.x","adj_t.x","adj_t_rk.x","wab","nc_elite_sos","nc_fut_sos","nc_cur_sos","ov_elite_sos","ov_fut_sos","ov_cur_sos","rk","adj_em","adj_o.y","adj_o_rk.y","adj_d.y","adj_d_rk.y","adj_t.y","adj_t_rk.y","luck","luck_rk","sos_adj_em","sos_adj_em_rk","sos_opp_o","sos_opp_o_rk","sos_opp_d","sos_opp_d_rk","ncsos_adj_em","ncsos_adj_em_rk","win_percentage","is_ranked","is_unranked","rank"
"1","Kansas",69.2758620689655,26.1034482758621,60.2758620689655,0.43393278325546,7.37931034482759,21.9655172413793,0.331154220680498,12.8965517241379,17.9655172413793,0.728837833577878,11.1724137931034,26,37.1724137931034,13.7931034482759,6.79310344827586,3.93103448275862,11.9310344827586,15.5172413793103,72.4827586206897,24.3103448275862,58.2413793103448,0.419480639472976,7.3448275862069,21.8965517241379,0.344809418733138,11.4137931034483,15.5862068965517,0.715748089505911,9.51724137931035,25.4137931034483,34.9310344827586,11.6896551724138,5.86206896551724,3,13.9310344827586,16.551724137931,67.448275862069,72.4827586206897,67.448275862069,108.755172413793,91.2655172413793,103.893103448276,49.4551724137931,17.0689655172414,30.348275862069,30.3965517241379,96.4896551724138,48.2827586206897,19.9103448275862,26.6896551724138,27.0034482758621,79.3448275862069,69.5172413793103,NA,0.878809,31,108.782,59,91.5667,17,68.1063,171,4.3335537988667,26,0.5743,0.5743,35,0.725,0.725,27,19.98,110.1,54,90.2,12,68.2,174,0.07,44,15.83,24,110.7,25,94.8,29,10.43,60,0.7,1,0,12
"2","Memphis",71.5357142857143,26.3214285714286,59.3214285714286,0.444126787132997,7.78571428571429,21.4285714285714,0.360719729955777,11.9642857142857,19.3928571428571,0.624310776998662,12.1071428571429,27.9285714285714,40.0357142857143,15.9642857142857,8.85714285714286,4.85714285714286,15.6071428571429,18.9642857142857,72.3928571428571,21.6428571428571,55.6071428571429,0.39122666403671,6.07142857142857,21.8928571428571,0.273698026891508,13.3571428571429,19.6071428571429,0.680005226090692,8.67857142857143,24.0357142857143,32.7142857142857,11,6.07142857142857,3.07142857142857,15.8214285714286,17.25,62.7142857142857,72.3928571428571,62.7142857142857,103.075,86.7142857142857,100.442857142857,51.0357142857143,21.6464285714286,33.1821428571429,33.3035714285714,87.5357142857143,44.5928571428571,21.7428571428571,23.7535714285714,35.9607142857143,79.2964285714286,72.0428571428571,NA,0.893206,23,104.593,120,86.9552,1,71.5177,40,-1.0902112257705,17,0.5023,0.5023,22,0.6249,0.6249,31,19.11,105.5,117,86.4,1,71.3,48,-0.068,311,8.72,96,105.9,101,97.2,82,1.45,198,0.714285714285714,0,1,0
"3","North Carolina",71.2068965517241,27.6206896551724,62.9655172413793,0.438193156638895,5.58620689655172,17.551724137931,0.314781305055789,14.3793103448276,21.5172413793103,0.661335035810438,15.7586206896552,27.1034482758621,42.8620689655172,15.2758620689655,7.03448275862069,4.72413793103448,14.6206896551724,16.7586206896552,75.2068965517241,25.3448275862069,59.7931034482759,0.424703722405509,8.03448275862069,22.9655172413793,0.348563633620085,11.2068965517241,16.0689655172414,0.682168510933057,9.72413793103448,22.7586206896552,32.4827586206897,12.9655172413793,8.51724137931035,4.58620689655172,13.6551724137931,18.1379310344828,69.9310344827586,75.2068965517241,69.9310344827586,107.844827586207,92.6379310344828,104.631034482759,48.2724137931034,20.2896551724138,40.3931034482759,35.0275862068966,97.6551724137931,49.2413793103448,18.9172413793103,25.9655172413793,27.5965517241379,76.0206896551724,71.7103448275862,NA,0.861675,37,109.045,56,93.0088,26,71.587,36,2.4383195576927,26,0.6142,0.6142,35,0.7536,0.7536,34,18.62,110.3,52,91.7,27,71.5,43,-0.005,194,14.79,34,110.9,21,96.1,62,8.2,87,0.620689655172414,0,1,0
"4","UCLA",66.90625,26.75,57.96875,0.463187363122618,6.8125,18.3125,0.380652605201162,13.09375,18.3125,0.708426860137928,10.125,25.03125,35.15625,13.65625,4.9375,2.78125,10.5625,16.0625,73.40625,24.9375,56.59375,0.442229272788509,7.1875,21.34375,0.338384815827544,11.375,15.9375,0.67983154609153,8.375,23.125,31.5,12.40625,4.90625,2.90625,11.78125,18.0625,68.4375,73.40625,68.4375,115.65,95.146875,108.815625,52.221875,15.7125,29.9625,31.81875,101.634375,50.621875,17.578125,25.1125,28.090625,84.525,64.9625,NA,0.902387,18,115.961,11,95.5697,54,63.7093,332,2.6418023668971,29,0.6756,0.6756,38,0.786,0.786,13,22.43,116.9,11,94.5,46,63.8,341,0.028,110,17.38,11,111.3,14,93.9,6,9.87,66,0.6875,0,1,0
"5","Bradley",66.1538461538462,25.5384615384615,57.7692307692308,0.444178431147067,6.61538461538461,21.0769230769231,0.30584954946577,9.53846153846154,13.0769230769231,0.698163755932691,9.65384615384615,25.8846153846154,35.5384615384615,13.1923076923077,4.92307692307692,3.23076923076923,12.5769230769231,16.5,67.2307692307692,23.7307692307692,55.5384615384615,0.430781947048273,9.34615384615385,24.5384615384615,0.374115590101529,11.2692307692308,16.7692307692308,0.666327959169811,9.19230769230769,24.8461538461538,34.0384615384615,12.9615384615385,6.46153846153846,2.23076923076923,11.8076923076923,13.6538461538462,68.0769230769231,67.2307692307692,68.0769230769231,102.4,101.011538461538,101.142307692308,50.1692307692308,18.8807692307692,27.8153846153846,22.9384615384615,102.588461538462,51.5423076923077,17.7076923076923,25.6269230769231,30.4192307692308,52.6230769230769,65.8615384615385,NA,0.503862,166,103.003,144,102.865,187,65.8162,280,-9.62460700389,16,0.4501,0.4501,16,0.52,0.52,146,1.87,103.5,149,101.7,162,65.9,288,-0.086,325,5.85,118,105.5,112,99.7,129,6.06,114,0.428571428571429,0,1,0
"6","Tulsa",66.6666666666667,23.1428571428571,53.7619047619048,0.432559396084393,6.38095238095238,21.2857142857143,0.30111913699884,12.2857142857143,17.8095238095238,0.702751362409339,8.80952380952381,24.2380952380952,33.047619047619,13.1428571428571,6.23809523809524,2,13.4285714285714,16.6190476190476,64.952380952381,22.8095238095238,55.1428571428571,0.416116916268992,7.85714285714286,23.047619047619,0.337122603865572,12.7142857142857,19.3333333333333,0.652895602391165,11.4761904761905,24.3809523809524,35.8571428571429,12.4285714285714,7.23809523809524,2.66666666666667,14.5714285714286,17.047619047619,66.1904761904762,64.952380952381,66.1904761904762,100.22380952381,97.3333333333333,96.7809523809524,49.1761904761905,19.9142857142857,26.3047619047619,34.3761904761905,98.7857142857143,48.752380952381,21.5952380952381,31.352380952381,35.452380952381,55.2285714285714,67.1285714285714,NA,0.575044,130,101.497,180,98.8628,104,65.7481,283,-5.3233502582379,5,0.2674,0.2674,22,0.5834,0.5834,121,5.09,102.6,165,97.5,91,65.6,303,-0.024,235,8.99,93,105.6,109,96.7,70,-3.27,261,0.478260869565217,0,1,0
"7","Massachusetts",73.7333333333333,26.2666666666667,61.3333333333333,0.426029332331433,8.8,27,0.328367760078937,15.4,21,0.727806986009793,9.06666666666667,25.4,34.4666666666667,14.9333333333333,7.33333333333333,4.06666666666667,12.0666666666667,17.4,76.7333333333333,26.8666666666667,58.6666666666667,0.460545607513978,6,17.7333333333333,0.334008413876835,13.2666666666667,19.6,0.65365350698684,8.73333333333333,28.2666666666667,37,15.3333333333333,7,3.53333333333333,14.7333333333333,18.6666666666667,73,76.7333333333333,73,105.34,97.9266666666667,103.26,49.7866666666667,16.34,24.1466666666667,34.38,98.34,51.1466666666667,19.8066666666667,25.4866666666667,33.8666666666667,61.4266666666667,72.28,NA,0.672496,106,105.577,108,99.1742,112,71.4154,44,-3.6681667967259,9,0.4644,0.4644,16,0.5278,0.5278,118,5.4,105.4,120,100,128,71.6,41,-0.057,297,3.71,141,103.1,180,99.3,122,0.22,212,0.533333333333333,0,1,0
"8","Ohio St.",67.9032258064516,26.4193548387097,57.6129032258064,0.459658530192093,8.12903225806452,22.5806451612903,0.356060303674668,16.1935483870968,21.4193548387097,0.7545946092187,9.83870967741936,26.7741935483871,36.6129032258064,13.0967741935484,4.51612903225806,3.48387096774194,10.6129032258065,18.5161290322581,77.1612903225806,24.741935483871,58.741935483871,0.42176872738276,7.67741935483871,22.5806451612903,0.342031074594557,13.9354838709677,19.6774193548387,0.700953486857952,9.90322580645161,23.7096774193548,33.6129032258064,13.5806451612903,4.80645161290323,2.64516129032258,10.0645161290323,18.9677419354839,71.0967741935484,77.1612903225806,71.0967741935484,120.464516129032,96.8645161290323,112.870967741935,53.041935483871,15.4677419354839,29.0838709677419,37.6225806451613,104.054838709677,48.6612903225806,14.7451612903226,27.1967741935484,33.9322580645161,85.3838709677419,67.6,NA,0.920465,11,120.415,4,97.3214,79,66.6032,244,5.9932551850859,17,0.5289,0.5289,39,0.7854,0.7854,11,23.58,120.7,4,97.1,82,66.7,251,-0.012,212,17.9,9,111.6,10,93.7,5,3.47,164,0.67741935483871,1,0,7
"9","Mississippi",67.1785714285714,25,56.6428571428571,0.442736938284332,5.21428571428571,17.3571428571429,0.297902938958251,13.6071428571429,19.3928571428571,0.70771740004938,12.0714285714286,24.4642857142857,36.5357142857143,12.2142857142857,7.53571428571429,3.89285714285714,14,17.1785714285714,68.8214285714286,22.25,53,0.422102099344654,6.82142857142857,19.3214285714286,0.34913697771633,12.3214285714286,17.8571428571429,0.674620796795529,9.17857142857143,22.75,31.9285714285714,13,6.92857142857143,3.17857142857143,15.1428571428571,17.25,63.6428571428571,68.8214285714286,63.6428571428571,105.067857142857,90.2035714285714,101.803571428571,48.925,20.6785714285714,34.35,35.1964285714286,94.1428571428571,48.7,22.3071428571429,26.8392857142857,34.075,76.1535714285714,67.3071428571428,NA,0.838727,48,106.074,100,91.9055,19,65.003,306,-1.324362334945,9,0.3504,0.3504,27,0.6702,0.6702,51,14.67,106.1,109,91.4,25,64.9,318,-0.063,301,10.75,78,107.9,75,97.2,81,-6.82,302,0.571428571428571,0,1,0
"10","Florida",70.36,26.52,56.28,0.473546518558558,6.76,19,0.357093386253596,14.36,19.08,0.748461265333132,9.92,25.36,35.28,11.72,7.2,5.2,15,18.6,74.16,24.64,58.28,0.421304641972186,6.48,21.08,0.308967808945236,14.52,20.48,0.712650711240862,11.2,22.04,33.24,12.6,7.52,3.32,14.32,17.76,70.28,74.16,70.28,110.296,93.66,104.728,53.36,21.208,30.868,34.968,99.368,47.744,20.196,30.4,35.728,78.6,70.46,NA,0.856144,39,110.231,44,94.3944,39,68.2256,164,1.1775319985316,30,0.6147,0.6147,33,0.7551,0.7551,41,16.95,111,44,94.1,41,68.3,167,-0.004,188,14.72,36,109.9,36,95.2,35,8.88,76,0.6,0,1,0
